MotherShip.UTCGregorian   MotherShip.motherVNB.X    MotherShip.motherVNB.Y    MotherShip.motherVNB.Z    MotherShip.motherVNB.VX   MotherShip.motherVNB.VY   MotherShip.motherVNB.VZ   
02 Jan 2028 18:00:00.000   -263.645117573306         0                         48773.72622522493         2.646108655545606         0                         6.071532165918825e-17     
02 Jan 2028 18:14:24.000   -202.8086264435416        -4.547473508864641e-13    48763.08268056103         2.645219704282095         0                         1.231653667943533e-16     
02 Jan 2028 18:28:48.000   -141.3433027432313        0                         48755.23296914718         2.644365354056528         0                         5.551115123125783e-17     
02 Jan 2028 18:43:12.000   -79.37441499474937        -4.547473508864641e-13    48750.20043566677         2.643547921715429         5.551115123125783e-17     6.938893903907228e-17     
02 Jan 2028 18:57:36.000   -17.02816285234036        0                         48748.00276168953         2.642769627431663         0                         -5.204170427930421e-17    
02 Jan 2028 19:12:00.000   45.56859061883532         -6.821210263296962e-13    48748.6519604322          2.642032591539148         -5.551115123125783e-17    1.812786032395763e-16     
02 Jan 2028 19:26:24.000   108.2885347332356         1.13686837721616e-13      48752.15436097662         2.641338830574536         0                         3.469446951953614e-18     
02 Jan 2028 19:40:48.000   171.0041885089537         -1.13686837721616e-13     48758.51062682008         2.640690255010802         0                         1.960237527853792e-16     
02 Jan 2028 19:55:12.000   233.5881326341447         1.13686837721616e-13      48767.71575476453         2.64008866585084          0                         -1.383441972091504e-16    
02 Jan 2028 20:09:36.000   295.9132847482562         -1.4210854715202e-13      48779.75912256334         2.639535753392761         0                         -6.765421556309548e-17    
02 Jan 2028 20:24:00.000   357.8531743982123         7.318590178329032e-13     48794.62450496356         2.639033093609195         0                         1.828235913353682e-17     
02 Jan 2028 20:38:24.000   419.2822012171837         1.13686837721616e-13      48812.29012276193         2.638582145985697         0                         6.678685382510707e-17     
02 Jan 2028 20:52:48.000   480.0759387148547         2.273736754432321e-13     48832.72871272143         2.638184251091507         -5.551115123125783e-17    -2.532696274926138e-16    
02 Jan 2028 21:07:12.000   540.1113890979823         6.821210263296962e-13     48855.90757527197         2.6378406267738           0                         2.168404344971009e-16     
02 Jan 2028 21:21:36.000   599.2672786400108         2.273736754432321e-13     48881.78866951633         2.637552365236895         5.551115123125783e-17     -9.454242944073599e-17    
